Territory	Standard VAT rate (%)
Albania (Last reviewed 30 June 2025)	20
Algeria (Last reviewed 14 July 2025)	19
Angola (Last reviewed 01 July 2025)	14;
See Angola's Corporate summary for a description of reduced VAT rates.
Argentina (Last reviewed 05 February 2025)	21
Armenia (Last reviewed 12 September 2025)	20
Australia (Last reviewed 27 June 2025)	Goods and services tax: 10
Austria (Last reviewed 15 July 2025)	20
Azerbaijan (Last reviewed 30 June 2025)	18
Bahamas, The (Last reviewed 16 September 2025)	10
Bahrain (Last reviewed 14 February 2025)	10
Bangladesh (Last reviewed 14 July 2025)	15
Barbados (Last reviewed 22 September 2025)	17.5
Belgium (Last reviewed 17 July 2025)	0, 6, 12 and 21
Bermuda (Last reviewed 31 January 2025)	NA
Bolivia (Last reviewed 17 July 2025)	13
Bosnia and Herzegovina (Last reviewed 19 August 2025)	17
Botswana (Last reviewed 17 April 2025)	14
Brazil (Last reviewed 02 May 2025)	Excise federal tax (IPI): Normally between 5% and 30%;
Federal VATs (PIS/COFINS): Generally a combined rate of 3.65% (cumulative) or 9.25% (non-cumulative);
State VAT (ICMS): Normally between 17% and 20% (lower rates apply to inter-state transactions, varying between 4%, 7%, and 12%);
Municipal Service Tax (ISS): 2% to 5% (cumulative).
Brunei Darussalam (Last reviewed 09 June 2025)	NA
Bulgaria (Last reviewed 09 September 2025)	20
Cabo Verde (Last reviewed 15 July 2025)	15
Cambodia (Last reviewed 08 September 2025)	10
Cameroon, Republic of (Last reviewed 04 March 2025)	19.25
Canada (Last reviewed 13 June 2025)	Combined federal and provincial/territorial sales taxes range from 5% to 15%.
Cayman Islands (Last reviewed 15 July 2025)	NA
Chad (Last reviewed 12 August 2024)	18
Chile (Last reviewed 13 August 2025)	19
China, People's Republic of (Last reviewed 02 July 2025)	13, 9, or 6 depending on the types of goods and services
Colombia (Last reviewed 14 July 2025)	19
Congo, Democratic Republic of the (Last reviewed 15 October 2024)	16
Congo, Republic of (Last reviewed 22 January 2025)	18.90 (18% VAT + 5% surtax)
Costa Rica (Last reviewed 30 June 2025)	13
Croatia (Last reviewed 30 June 2025)	25
Cyprus (Last reviewed 01 July 2025)	19
Czech Republic (Last reviewed 24 July 2025)	21
Denmark (Last reviewed 05 September 2025)	25
Dominican Republic (Last reviewed 30 May 2025)	18
Ecuador (Last reviewed 13 March 2025)	15
Egypt (Last reviewed 13 August 2025)	14
El Salvador (Last reviewed 05 September 2025)	13
Equatorial Guinea (Last reviewed 07 May 2024)	15
Estonia (Last reviewed 29 May 2025)	22
Eswatini (Last reviewed 13 August 2025)	15
Ethiopia (Last reviewed 22 July 2025)	15
Finland (Last reviewed 26 August 2025)	25.5
France (Last reviewed 05 June 2025)	Turnover tax: 20
Gabon (Last reviewed 04 March 2024)	18
Georgia (Last reviewed 14 July 2025)	18
Germany (Last reviewed 30 June 2025)	19
Ghana (Last reviewed 28 August 2025)	Standard rate scheme: 15;
Flat rate scheme: 3
Immovable property: 5

Additional levies are charged on taxable supplies. Under the standard rate scheme these are NHIL: 2.5, GETFL: 2.5, and CHRL:1. While under the flat rate scheme, this is the CHRL: 1
Gibraltar (Last reviewed 09 September 2025)	NA
Greece (Last reviewed 21 July 2025)	24
Greenland (Last reviewed 15 August 2025)	NA
Guatemala (Last reviewed 15 July 2025)	12
Guernsey, Channel Islands (Last reviewed 27 June 2025)	NA;
Proposals to implement GST in 2027 were included in the 2025 Budget.
Guyana (Last reviewed 15 July 2025)	14
Honduras (Last reviewed 17 September 2025)	Sales tax: 15
Hong Kong SAR (Last reviewed 02 July 2025)	NA
Hungary (Last reviewed 07 August 2025)	27
Iceland (Last reviewed 20 August 2025)	24
India (Last reviewed 06 May 2025)	The rate of GST varies from 5% to 28% depending upon the category of goods and services being supplied, the general rate of tax being 18% on majority of goods and services. Additionally, for certain goods, a compensation cess is levied at different rates as prescribed by the government.
Indonesia (Last reviewed 24 June 2025)	12
Iraq (Last reviewed 01 June 2025)	Sales tax: Varies by good/service (see Iraq's corporate tax summary).
Ireland (Last reviewed 11 July 2025)	23
